Ministry_Contact,Sampling_Agency,Project,Work_Order_number,Location_ID,Location_Name,LocationType,Location_Latitude,Location_Longitude,Location_Elevation,Location_Elevation_Units,Location_Group,Field_Visit_Start_Time,Field_Visit_End_Time,Field_Visit_Participants,Field_Comment,Activity_Comment,Field_Filtered,Field_Filtered_Comment,Field_Preservative,Field_Device_ID,Field_Device_Type,Sampling_Context_Tag,Collection_Method,Medium,Taxonomy,Depth_Upper,Depth_Lower,Depth_Unit,Observed_Date_Time,Observed_Date_Time_End,Observed_Property_ID,CAS_Number,Result_Value,Method_Detection_Limit,Method_Reporting_Limit,Result_Unit,Detection_Condition,Limit_Type,Composite_Stat,Fraction,Data_Classification,Analyzing_Agency,Analysis_Method,Analyzed_Date_Time,Result_Status,Result_Grade,Activity_Name,Tissue_Type,Lab_Arrival_Temperature,Specimen_Name,Lab_Quality_Flag,Lab_Arrival_Date_Time,Lab_Prepared_Date_Time,Lab_Sample_ID,Lab_Dilution_Factor,Lab_Comment,Lab_Batch_ID,QC_Type,QC_Source_Activity_Name,Validation_Warnings,Standards_Violation
Danny St.Hilaire,"52 - Southern Region, Penticton",BC Lake Monitoring Network,50260656,E303413,CHILLIWACK LAKE NEAR CENTRE OF THE NORTH 1/2 OF LAKE,LAKE OR POND,49.076764,-121.436211,2040.0,m,BC Lake Monitoring Network (BCLMN),2023-04-17T11:45:00.000-08:00,2023-04-17T12:00:00.000-08:00,Danny St. Hilaire,,Generated activity from observation import file E303413.csv.0_dd95c796-e152-4e3a-8802-a0ad4c2161db.csv,false,,,,Field: Device Type,,GRB,Water - Fresh,,20,45,m,2023-04-17 12:00:00.000-08:00,2023-04-17T12:15:00.000-08:00,"antimony (Sb), total (fl. conc.)",7440-36-0,0.00002,0.00002,,mg/l,NOT_DETECTED,,,TOTAL,LAB,ALS,METN;MET-T-NP-CCMS-VA;US EPA,2023-04-20 00:00:00.000-08:00,Preliminary,Ungraded,4076632,,3,Metals,,2023-04-18 11:15:00.000-08:00,,,,"Lab Batch ID: VA23A8323 EMS Result ID: 37595781 , Lab comments if any:",,,,,
Danny St.Hilaire,"52 - Southern Region, Penticton",BC Lake Monitoring Network,50261832,E303413,CHILLIWACK LAKE NEAR CENTRE OF THE NORTH 1/2 OF LAKE,LAKE OR POND,49.076764,-121.436211,2040.0,m,BC Lake Monitoring Network (BCLMN),2023-08-22T08:45:00.000-08:00,2023-08-22T09:00:00.000-08:00,Danny St. Hilaire,,Generated activity from observation import file E303413.csv.0_dd95c796-e152-4e3a-8802-a0ad4c2161db.csv,false,,,,Field: Device Type,,GRB,Water - Fresh,,1,10,m,2023-08-22 08:45:00.000-08:00,2023-08-22T09:00:00.000-08:00,"orthophosphate (PO₄⁻³ as P), dissolved (fl. conc.)",7723-14-0,0.001,0.001,,mg/l,NOT_DETECTED,,,,LAB,ALS,1420;Auto. Ascorbic - L Level;EMS Migration,2023-08-24 00:00:00.000-08:00,Preliminary,Ungraded,4161474,,5,Nutrients,,2023-08-23 11:00:00.000-08:00,,,,"Lab Batch ID: VA23B9685 EMS Result ID: 39227182 , Lab comments if any:",,,,Statistical Outlier: 0.001 mg/l >= P95 (0.001 mg/l),
Danny St.Hilaire,"52 - Southern Region, Penticton",BC Lake Monitoring Network,50258725,E303413,CHILLIWACK LAKE NEAR CENTRE OF THE NORTH 1/2 OF LAKE,LAKE OR POND,49.076764,-121.436211,2040.0,m,BC Lake Monitoring Network (BCLMN),2022-08-17T08:30:00.000-08:00,2022-08-17T08:45:00.000-08:00,DSH,,Generated activity from observation import file E303413.csv.0_dd95c796-e152-4e3a-8802-a0ad4c2161db.csv,false,,,,Field: Device Type,,GRB,Water - Fresh,,1,7,m,2022-08-17 08:30:00.000-08:00,2022-08-17T08:45:00.000-08:00,"beryllium (Be), total (fl. conc.)",7440-41-7,0.00001,0.00001,,mg/l,NOT_DETECTED,,,TOTAL,LAB,ALS,METN;MET-T-NP-CCMS-VA;US EPA,2022-08-24 00:00:00.000-08:00,Preliminary,Ungraded,3947880,,0,Metals,,2022-08-18 11:00:00.000-08:00,,,,"Lab Batch ID: VA22B9378 EMS Result ID: 35274981 , Lab comments if any:",,,,Statistical Outlier: 1.0E-5 mg/l >= P95 (1.0E-5 mg/l),
Danny St.Hilaire,"52 - Southern Region, Penticton",BC Lake Monitoring Network,50257108,E303413,CHILLIWACK LAKE NEAR CENTRE OF THE NORTH 1/2 OF LAKE,LAKE OR POND,49.076764,-121.436211,2040.0,m,BC Lake Monitoring Network (BCLMN),2022-03-29T09:15:00.000-08:00,2022-03-29T09:30:00.000-08:00,Danny St. Hilaire,,Generated activity from observation import file E303413.csv.0_dd95c796-e152-4e3a-8802-a0ad4c2161db.csv,false,,,,Field: Device Type,,GRB,Water - Fresh,,1,10,m,2022-03-29 09:15:00.000-08:00,2022-03-29T09:30:00.000-08:00,"uranium (U), total (fl. conc.)",7440-61-1,0.0000542,0.000002,,mg/l,,,,TOTAL,LAB,ALS,METN;MET-T-NP-CCMS-VA;US EPA,2022-04-02 00:00:00.000-08:00,Preliminary,Ungraded,3865412,,3,Metals,,2022-03-30 12:00:00.000-08:00,,,,"Lab Batch ID: VA22A6536 EMS Result ID: 33606635 , Lab comments if any:",,,,,
Danny St.Hilaire,74 - Permittee,BC Lake Monitoring Network,50243845,E303413,CHILLIWACK LAKE NEAR CENTRE OF THE NORTH 1/2 OF LAKE,LAKE OR POND,49.076764,-121.436211,2040.0,m,BC Lake Monitoring Network (BCLMN),2019-08-14T09:30:00.000-08:00,2019-08-14T10:00:00.000-08:00,Danny St. Hilaire,W592/ N232/ T428 (CH) Hypolimnion,Generated activity from observation import file E303413.csv.0_dd95c796-e152-4e3a-8802-a0ad4c2161db.csv,false,,,,Field: Device Type,,GRB,Water - Fresh,,16,45,m,2019-08-14 10:00:00.000-08:00,2019-08-14T10:30:00.000-08:00,"nitrogen, nitrate (NO₃⁻) + nitrite (NO₂⁻), dissolved (N+N) (fl. conc.)",14797-55-8 & 14797-65-0,0.085,0.0032,,mg/l,,,,DISSOLVED,LAB,ALS,X044;Ion Chromatography;EMS Migration,2019-08-19 00:00:00.000-08:00,Preliminary,Ungraded,3434488,,6,Nutrients,,2019-08-14 14:30:00.000-08:00,,,,"Lab Batch ID: L2329046 EMS Result ID: 27337518 , Lab comments if any:",,,,,
Danny St.Hilaire,74 - Permittee,BC Lake Monitoring Network,50252339,E303413,CHILLIWACK LAKE NEAR CENTRE OF THE NORTH 1/2 OF LAKE,LAKE OR POND,49.076764,-121.436211,2040.0,m,BC Lake Monitoring Network (BCLMN),2021-04-07T08:45:00.000-08:00,2021-04-07T09:00:00.000-08:00,Danny St. Hilaire,,Generated activity from observation import file E303413.csv.0_dd95c796-e152-4e3a-8802-a0ad4c2161db.csv,false,,,,Field: Device Type,,GRB,Water - Fresh,,18,45,m,2021-04-07 09:00:00.000-08:00,2021-04-07T09:15:00.000-08:00,"nitrogen, nitrate (NO₃⁻) + nitrite (NO₂⁻) (N+N) (fl. conc.)",14797-55-8 & 14797-65-0,0.064,,,mg/l,NOT_DETECTED,,,TOTAL,LAB,ALS,CS01;System Calculation;EMS Migration,2021-04-07 09:46:00.000-08:00,Preliminary,Ungraded,3683146,,1,Nutrients,,2021-04-08 12:40:00.000-08:00,,,,"Lab Batch ID:  EMS Result ID: 31028379 , Lab comments if any:",,,,,
Maxwell Hoyer,"52 - Southern Region, Penticton",BC Lake Monitoring Network,,E303413,CHILLIWACK LAKE NEAR CENTRE OF THE NORTH 1/2 OF LAKE,LAKE OR POND,49.076764,-121.436211,2040.0,m,BC Lake Monitoring Network (BCLMN),2021-08-18T09:00:00.000-08:00,2021-08-18T09:15:00.000-08:00,Danny St. Hilaire,,,,,,,Field: Device Type,,GRB,Water - Fresh,,1,,m,2021-08-18 09:00:00.000-08:00,,"Specific Conductance, Field (elec. cond.)",,23.8,,,µS/cm,,,,,FIELD,,,2021-08-18 09:00:00.000-08:00,Preliminary,Ungraded,,,,,,,,,,,,,,,
Maxwell Hoyer,"52 - Southern Region, Penticton",BC Lake Monitoring Network,50254999,E303413,CHILLIWACK LAKE NEAR CENTRE OF THE NORTH 1/2 OF LAKE,LAKE OR POND,49.076764,-121.436211,2040.0,m,BC Lake Monitoring Network (BCLMN),2021-08-18T09:00:00.000-08:00,2021-08-18T09:15:00.000-08:00,Danny St. Hilaire,,Generated activity from observation import file E303413.csv.0_dd95c796-e152-4e3a-8802-a0ad4c2161db.csv,false,,,,Field: Device Type,,GRB,Water - Fresh,,1,10,m,2021-08-18 09:00:00.000-08:00,2021-08-18T09:15:00.000-08:00,"silica, reactive, dissolved (fl. conc.)",7631-86-9,4.79,0.5,,mg/l,,,,,LAB,ALS,X160;Auto Molybdate-Blue Col.(Ascorbic);EMS Migration,2021-08-26 00:00:00.000-08:00,Preliminary,Ungraded,3767289,,3,Nutrients,,2021-08-19 12:00:00.000-08:00,,,,"Lab Batch ID: VA21B7592 EMS Result ID: 32247955 , Lab comments if any:",,,,,
Diane Sutherland,74 - Permittee,BC Lake Monitoring Network,50226519,E303413,CHILLIWACK LAKE NEAR CENTRE OF THE NORTH 1/2 OF LAKE,LAKE OR POND,49.076764,-121.436211,2040.0,m,BC Lake Monitoring Network (BCLMN),2016-09-07T10:30:00.000-08:00,2016-09-07T11:00:00.000-08:00,Diane Sutherland,Chloro a filtered vol : 1L,Generated activity from observation import file E303413.csv.0_dd95c796-e152-4e3a-8802-a0ad4c2161db.csv,false,,,,Field: Device Type,,GRB,Water - Fresh,,1,9,m,2016-09-07 10:30:00.000-08:00,,"chloride (Cl⁻), dissolved (fl. conc.)",16887-00-6,0.5,0.5,,mg/l,NOT_DETECTED,,,DISSOLVED,LAB,ALS,X044;Ion Chromatography;EMS Migration,2016-09-08 00:00:00.000-08:00,Preliminary,Ungraded,3036623,,10,Major Ions,,2016-09-07 12:00:00.000-08:00,,,,"Lab Batch ID: L1825179 EMS Result ID: 21343148 , Lab comments if any:",,,,Statistical Outlier: 0.5 mg/l >= P95 (0.5 mg/l),
Danny St.Hilaire,"52 - Southern Region, Penticton",BC Lake Monitoring Network,50261832,E303413,CHILLIWACK LAKE NEAR CENTRE OF THE NORTH 1/2 OF LAKE,LAKE OR POND,49.076764,-121.436211,2040.0,m,BC Lake Monitoring Network (BCLMN),2023-08-22T08:45:00.000-08:00,2023-08-22T09:00:00.000-08:00,Danny St. Hilaire,,Generated activity from observation import file E303413.csv.0_dd95c796-e152-4e3a-8802-a0ad4c2161db.csv,false,,,,Field: Device Type,,GRB,Water - Fresh,,1,10,m,2023-08-22 08:45:00.000-08:00,2023-08-22T09:00:00.000-08:00,"nitrogen, nitrate (NO₃⁻) + nitrite (NO₂⁻), dissolved (N+N) (fl. conc.)",14797-55-8 & 14797-65-0,0.0487,0.0032,,mg/l,,,,DISSOLVED,LAB,ALS,XCAL;Calculation (mg/L);EMS Migration,2023-08-25 00:00:00.000-08:00,Preliminary,Ungraded,4161474,,5,Nutrients,,2023-08-23 11:00:00.000-08:00,,,,"Lab Batch ID: VA23B9685 EMS Result ID: 39227179 , Lab comments if any:",,,,,
Lyndsey Johnson,74 - Permittee,BC Lake Monitoring Network,50236467,E303413,CHILLIWACK LAKE NEAR CENTRE OF THE NORTH 1/2 OF LAKE,LAKE OR POND,49.076764,-121.436211,2040.0,m,BC Lake Monitoring Network (BCLMN),2018-05-15T11:15:00.000-08:00,2018-05-15T11:27:00.000-08:00,Lyndsey Johnson,M421,Generated activity from observation import file E303413.csv.0_dd95c796-e152-4e3a-8802-a0ad4c2161db.csv,false,,,,Field: Device Type,,GRB,Water - Fresh,,0,0,m,2018-05-15 11:15:00.000-08:00,,"nitrogen, total Kjeldahl (TKN) (fl. conc.)",-,0.05,0.05,,mg/l,NOT_DETECTED,,,,LAB,ALS,XCAL;Calculation (mg/L);EMS Migration,2018-05-30 00:00:00.000-08:00,Preliminary,Ungraded,3252776,,7,Nutrients,,2018-05-16 08:20:00.000-08:00,,,,"Lab Batch ID: L2095393 EMS Result ID: 24628386 , Lab comments if any:",,BLANK,,,
Danny St.Hilaire,74 - Permittee,BC Lake Monitoring Network,50252339,E303413,CHILLIWACK LAKE NEAR CENTRE OF THE NORTH 1/2 OF LAKE,LAKE OR POND,49.076764,-121.436211,2040.0,m,BC Lake Monitoring Network (BCLMN),2021-04-07T08:45:00.000-08:00,2021-04-07T09:00:00.000-08:00,Danny St. Hilaire,,Generated activity from observation import file E303413.csv.0_dd95c796-e152-4e3a-8802-a0ad4c2161db.csv,false,,,,Field: Device Type,,GRB,Water - Fresh,,18,45,m,2021-04-07 09:00:00.000-08:00,2021-04-07T09:15:00.000-08:00,"hardness, total (as CaCO₃) (fl. conc.)",-,10,0.5,,mg/l,,,,TOTAL,LAB,ALS,XCAL;Calculation (mg/L);EMS Migration,2021-04-10 00:00:00.000-08:00,Preliminary,Ungraded,3683146,,1,Major Ions,,2021-04-08 12:40:00.000-08:00,,,,"Lab Batch ID: VA21A6512 EMS Result ID: 31028335 , Lab comments if any:",,,,,
Danny St.Hilaire,74 - Permittee,BC Lake Monitoring Network,50252339,E303413,CHILLIWACK LAKE NEAR CENTRE OF THE NORTH 1/2 OF LAKE,LAKE OR POND,49.076764,-121.436211,2040.0,m,BC Lake Monitoring Network (BCLMN),2021-04-07T08:45:00.000-08:00,2021-04-07T09:00:00.000-08:00,Danny St. Hilaire,,Generated activity from observation import file E303413.csv.0_dd95c796-e152-4e3a-8802-a0ad4c2161db.csv,false,,,,Field: Device Type,,GRB,Water - Fresh,,18,45,m,2021-04-07 09:00:00.000-08:00,2021-04-07T09:15:00.000-08:00,"sodium (Na), total (fl. conc.)",7440-23-5,0.894,0.02,,mg/l,,,,TOTAL,LAB,ALS,METN;MET-T-NP-CCMS-VA;US EPA,2021-04-09 00:00:00.000-08:00,Preliminary,Ungraded,3683146,,1,Metals,,2021-04-08 12:40:00.000-08:00,,,,"Lab Batch ID: VA21A6512 EMS Result ID: 31028365 , Lab comments if any:",,,,,
Danny St.Hilaire,"52 - Southern Region, Penticton",BC Lake Monitoring Network,50257108,E303413,CHILLIWACK LAKE NEAR CENTRE OF THE NORTH 1/2 OF LAKE,LAKE OR POND,49.076764,-121.436211,2040.0,m,BC Lake Monitoring Network (BCLMN),2022-03-29T09:15:00.000-08:00,2022-03-29T09:30:00.000-08:00,Danny St. Hilaire,,Generated activity from observation import file E303413.csv.0_dd95c796-e152-4e3a-8802-a0ad4c2161db.csv,false,,,,Field: Device Type,,GRB,Water - Fresh,,20,45,m,2022-03-29 09:30:00.000-08:00,2022-03-29T09:45:00.000-08:00,"nickel (Ni), total (fl. conc.)",7440-02-0,0.000062,0.00005,,mg/l,,,,TOTAL,LAB,ALS,METN;MET-T-NP-CCMS-VA;US EPA,2022-04-02 00:00:00.000-08:00,Preliminary,Ungraded,3865411,,3,Metals,,2022-03-30 12:00:00.000-08:00,,,,"Lab Batch ID: VA22A6536 EMS Result ID: 33606570 , Lab comments if any:",,,,,
